"Reino","Filo","Classe","Ordem","Familia","Genero","Especie","Subespecie","Nome_Cientifico_Anterior","Autor","Nome_Comum","Grupo","Mes_Ano_Avaliacao","Categoria","Possivemente_Extinta","Criterio","Justificativa","Endemica_Brasil","Consta_em_Lista_Nacional_Oficial","Estado","Regiao","Bioma","Bacia_Hidrografica","Unidade_de_Conservacao_Federal","Unidade_de_Conservacao_Estadual","RPPN","Migratoria","Tendencia_Populacional","Ameaca","Uso","Acao_Conservacao","Plano_de_Acao","Listas_e_Convencoes","Altitude_min_max_","Barimetria_min_max_"
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Plebeia","Plebeia mosquito","","Plebeia mosquito","(Smith, 1863)","Abelha, Mosquito","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Plebeia mosquito é endêmica do Brasil com registro nos estados da Bahia, Minas Gerais, Rio de Janeiro e São Paulo. Apesar das ameaças identificadas, estas não colocam a espécie em risco de extinção no futuro próximo. Por isso, P. mosquito foi categorizada como Menos Preocupante (LC).","Sim","Não","Bahia, Minas Gerais, Rio de Janeiro, São Paulo","|Nordeste|Sudeste|","Cerrado, Mata Atlântica","","","","","Desconhecido","Desconhecida","2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida","1 - Alimentação humana|1.4 - Produção de mel e subprodutos","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Cephalotrigona","Cephalotrigona femorata","","Cephalotrigona femorata","(Smith, 1854)","Abelha, Mombucão-da-Amazônia","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Cephalotrigona femorata tem distribuição natural no domínio Amazônico e regiões limítrofes com o Cerrado. A espécie possui registros na Bolívia, Brasil, Colômbia e Peru. No Brasil ocorre nos estados do Acre, Amapá, Amazonas, Mato Grosso, Maranhão, Pará, Rondônia e Tocantins. Apesar das ameaças identificadas em parte da distribuição da espécie, não há indícios que estes impactos coloquem sua população em risco de extinção no futuro próximo. Por isso, C. femorata foi categorizada como Menos Preocupante (LC).","Não","Não","Acre, Amapá, Amazonas, Maranhão, Mato Grosso, Pará, Rondônia, Tocantins","|Centro-Oeste|Nordeste|Norte|","Amazônia, Cerrado","Sub-bacia Araguaia Sub-bacia Gurupi Sub-bacia Itapecuru Sub-bacia Madeira Sub-bacia Negro Sub-bacia Tocantins Baixo Sub-bacia Xingu","FLONA Carajás, PARNA dos Campos Ferruginosos, RESEX Alto Juruá","ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO, ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","","Não","Desconhecida","2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 3 - Produção energética e mineração|3.3 - Energia renovável|3.3.1 - Hidrelétricas 7 - Modificações nos sistemas naturais|7.2 - Represas e uso de água","1 - Alimentação humana|1.4 - Produção de mel e subprodutos","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Scaura","Scaura longula","","Scaura longula","(Lepeletier, 1836)","Abelha, Jataí-preta, Mehnô-rã-tyk, Ramichi-negra-grande","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Scaura longula ocorre na Região neotropical na Bolívia, Colômbia, Peru, Suriname, Equador, Guiana Francesa, Panamá, Venezuela e Brasil, onde possui registros nos estados do Acre, Amapá, Amazonas, Bahia, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Rondônia, Roraima e São Paulo. Não foram identificadas ameaças que coloquem a espécie em risco de extinção no futuro próximo. Portanto, S. longula foi categorizada como Menos Preocupante (LC).","Não","Não","Acre, Amapá, Amazonas, Bahia, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Rondônia, Roraima, São Paulo","|Centro-Oeste|Nordeste|Norte|Sudeste|","Amazônia, Caatinga, Cerrado","Sub-bacia Araguaia Sub-bacia Foz Amazonas Sub-bacia Grande Sub-bacia Madeira Sub-bacia Negro Sub-bacia Paranaíba Sub-bacia Tocantins Baixo Sub-bacia Xingu","PARNA Jaú, REBIO Rio Trombetas, RESEX Alto Juruá","PARQUE ESTADUAL CHANDLESS, RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL MAMIRAUÁ","RPPN Seringal Assunção, RPPN Sítio Estrela Dalva","Desconhecido","Desconhecida","","","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Oxytrigona","Oxytrigona mulfordi","","Oxytrigona mulfordi","(Schwarz, 1948)","Abelha","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Oxytrigona mulfordi ocorre na Bolívia, Peru, Equador, Colômbia e Brasil, onde é registrada nos estados do Acre e Rondônia. Apesar das ameaças identificadas em parte de sua distribuição, estas não colocam a espécie em risco de extinção no futuro próximo. Por isso, O. mulfordi foi categorizada como Menos Preocupante (LC).","Não","Não","Acre, Rondônia","|Norte|","Amazônia","Sub-bacia Madeira","PARNA Pacaás Novos","","","Desconhecido","Desconhecida","2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 5 - Uso de recursos biológicos|5.3 - Extração florestal|5.3.5 - Motivação desconhecida","","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Tetragona","Tetragona essequiboensis","","Tetragona essequiboensis","(Schwarz, 1940)","Abelha","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Tetragona essequiboensis é amplamente distribuída na Amazônia, com registros na Guiana e no Brasil, onde tem registro nos estados do Amazonas e Rondônia. Não foram identificadas ameaças que coloquem a espécie em risco de extinção no futuro próximo. Por isso, T. essequiboensis foi categorizada como Menos Preocupante (LC).","Não","Não","Amazonas, Rondônia","|Norte|","Amazônia","Sub-bacia Madeira Sub-bacia Negro","","","","Desconhecido","Desconhecida","","","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Paratrigona","Paratrigona haeckeli","","Paratrigona haeckeli","(Friese, 1900)","Abelha, Mirim","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Paratrigona haeckeli ocorre no Peru, Colômbia e no Brasil, onde tem registro nos estados do Mato Grosso, Pará e Rondônia. Não foram identificadas ameaças que coloquem a espécie em risco de extinção no futuro próximo. Por isso, P. haeckeli foi categorizada como Menos Preocupante (LC).","Não","Não","Mato Grosso, Pará, Rondônia","|Centro-Oeste|Norte|","Amazônia, Cerrado","Sub-bacia Madeira","ESEC Cuniã","","","Desconhecido","Desconhecida","","","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Frieseomelitta","Frieseomelitta longipes","","Frieseomelitta longipes","(Smith, 1854)","Abelha, Mirim","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Frieseomelitta longipes ocorre na Guiana e no Brasil, onde é registrada nos estados do Amazonas, Maranhão, Pará, Roraima, Mato Grosso e Tocantins. Apesar das ameaças identificadas, estas não colocam a espécie em risco de extinção no futuro próximo. Por isso, Frieseomelitta longipes foi categorizada como Menos Preocupante (LC).","Não","Não","Amazonas, Maranhão, Mato Grosso, Pará, Roraima, Tocantins","|Centro-Oeste|Nordeste|Norte|","Amazônia, Cerrado","Sub-bacia Araguaia Sub-bacia Itapecuru Sub-bacia Negro Sub-bacia Paru Sub-bacia Tocantins Baixo","FLONA Carajás, PARNA dos Campos Ferruginosos","ÁREA DE PROTEÇÃO AMBIENTAL MARGEM DIREITA DO RIO NEGRO- SETOR PADUARI-SOLIMÕES, PARQUE ESTADUAL RIO NEGRO SETOR NORTE","","Desconhecido","Desconhecida","2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida","1 - Alimentação humana|1.4 - Produção de mel e subprodutos","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Eulaema","Eulaema quadragintanovem","","","Nemésio & Ferrari, 2012","Abelha das orquídeas","Invertebrados Terrestres","07/2021","Dados Insuficientes","","","Eulaema quadragintanovem é endêmica do Brasil, registrada apenas no norte do estado do Ceará, em brejos de altitude (acima de 600m). Esse ambiente sofre intensa pressão promovida, principalmente, pela transformação da paisagem natural pela expansão da fronteira agropecuária e urbana. As áreas naturais também são alteradas pelo corte de madeira para produção de carvão. Não há informações disponíveis para inferir sua atual distribuição, tendências populacionais e como os impactos das ameaças citadas afetam sua população e, por isso, não há como avaliar adequadamente seu risco de extinção. Portanto, E. quadragintanovem foi categorizada como Dados Insuficientes (DD).","Sim","Não","Ceará","|Nordeste|","Caatinga","Sub-bacia Litoral CE PI","PARNA de Ubajara","ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE BATURITÉ","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 5 - Uso de recursos biológicos|5.3 - Extração florestal|5.3.5 - Motivação desconhecida","","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Partamona","Partamona helleri","","Partamona helleri","(Friese, 1900)","Abelha, Boca-de-sapo, Cupira","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Partamona helleri é endêmica do Brasil, onde ocorre nos estados da Bahia, Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro, Santa Catarina e São Paulo. Apesar das ameaças identificadas, estas não colocam a espécie em risco de extinção no futuro próximo. Por isso, P. helleri foi categorizada como Menos Preocupante (LC).","Sim","Não","Bahia, Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro, Santa Catarina, São Paulo","|Nordeste|Sudeste|Sul|","Cerrado, Mata Atlântica, Sistema Costeiro-Marinho","Sub-bacia Doce Sub-bacia Grande Sub-bacia Iguaçu Sub-bacia Itapecuru-Paraguaçu Sub-bacia Litoral RJ Sub-bacia Litoral RJ SP Sub-bacia Litoral SP Sub-bacia Litoral SP PR SC Sub-bacia Paraíba do Sul Sub-bacia Paranaíba Sub-bacia São Francisco Alto Sub-bacia São Francisco Médio Sub-bacia Tietê","APA Bacia do Rio Paraíba do Sul, APA Cananéia-Iguape-Peruíbe, APA Guaraqueçaba, APA Petrópolis, ESEC Tamoios, PARNA da Serra dos Órgãos, PARNA da Tijuca, PARNA Saint-Hilaire/Lange, RESEX Canavieiras, RESEX Cassurubá","APA PIRACICABA JUQUERí-MIRIM AREA II, APA SISTEMA CANTAREIRA, ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU, ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA, ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA, ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS, ÁREA DE PROTEÇÃO AMBIENTAL SUL-RMBH, ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS, FLORESTA ESTADUAL DO UAIMII, PARQUE ESTADUAL DA CANTAREIRA, PARQUE ESTADUAL DE ITAPETINGA","Estação Veracel, RPN Salto Apepique, RPPN Araçari, RPPN Caetezal, RPPN CEFLUSMME, RPPN Ecoparque de Una, RPPN Fazenda Barra do Sana, RPPN Fazenda Sayonara, RPPN Itacira, RPPN Morro do Curussu Mirim, RPPN Parque Ecológico ARTEX, RPPN Sítio Curucutu, RPPN Sítio do Bananal, RPPN Sítio do Jacu","Desconhecido","Desconhecida","2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida","","","","","",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Paratrigona","Paratrigona pacifica","","Paratrigona pacifica","(Schwarz, 1943)","Abelha","Invertebrados Terrestres","07/2021","Menos Preocupante","","","Paratrigona pacifica ocorre na Bolívia, Equador, Peru e Brasil, onde possui registros nos estados do Acre e Rondônia. Apesar das ameaças identificadas, estas não colocam a espécie em risco de extinção no futuro próximo. Por isso, P. pacifica foi categorizada como Menos Preocupante (LC).","Não","Não","Acre, Rondônia","|Norte|","Amazônia","Sub-bacia Madeira","RESEX Rio Cautário","RESERVA EXTRATIVISTA RIO CAUTÁRIO","","Desconhecido","Desconhecida","2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 5 - Uso de recursos biológicos|5.3 - Extração florestal","","","","","",""
